,domain,registrar,ns,dns_provider,mx,xmpp,dkim,dmarc,spf,autoconfig,autodiscover
0,6953727248492483.com,"TUCOWS, INC.",ns3.digitalocean.com. | ns2.digitalocean.com. | ns1.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,0 5 5222 chimp.mylesbraithwaite.net. | 0 5 5222 chimp.mylesbraithwaite.net. | 0 5 5269 chimp.mylesbraithwaite.net.,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC277/aaIYlnCa5vsZfTUC0zfUhG/6d1DCo0GhXqYp+SyuXD019hTRpW41YSKzShbfcZneIH+u9Pg7XHbwqmcXYmf/7P+9RP9YzKhuB0Tw+NIu/YteYa2Z3x7sZFRNCzlT1w3+8qXdKEig9qmS7y7n3QLB6rzcNaRAVY+MqIY6DhQIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
1,mylesb.ca,,ns3.digitalocean.com. | ns2.digitalocean.com. | ns1.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,1 1 5222 chimp.mylesbraithwaite.net. | 1 1 5269 chimp.mylesbraithwaite.net.,"""v=DKIM1; h=sha265; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC1SGLU9oODDQ1tr9cmGhjXVXihKD4Vnzgz6YTiouDgEGhGLoVtF1KvRVoRtXXDyC73FBJlCQ2KXfu1nuT+/brjzP5oC1xinVzI0bCbpfeYdJUF4S0S81wZvp7ZmV4/FBWlTDZ4IsNym7Rldn+1G5mh3RfPxzcYG2pHoqxjgAky1wIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
2,braithwaitecorp.com,"TUCOWS, INC.",ns1.digitalocean.com. | ns3.digitalocean.com. | ns2.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC+PGWgMMYH5tBwbMKXcPW3EBpldn69+jZ+GeWbSQeNLXMdSeGul3CZdzeC9RS9FMPrBIBOiLI53Lil+zdGLJi7CEG2Wc1RkDcVz5cpv3Zoc0dZ+DUjsyW2Cl57J4uofA/4zWrP4AIUKXXPhRE+RPJD+A8Key0WAcCu1ilUw8FO4QIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
3,mbraithwaite.com,"TUCOWS, INC.",ns3.digitalocean.com. | ns2.digitalocean.com. | ns1.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,,"""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
4,mylesbraithwaite.ca,,ns1.digitalocean.com. | ns3.digitalocean.com. | ns2.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDF+Kn4vOOss5an1PX9oDJb5mpZer5ZTvoTVPbfw5GUqwTVCKk4bVbjFYMN4UGYMJ6XcFgCpcB2HNlqYmpfbnwwwfgPskF67frA3TSjLE3fjiPLIKrhHE+UwFdlp69mtCkUAgD8FGTGzt/UQ/iVi63mfJ388zLV3xcXWPHXhskjiwIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
5,mylesbraithwaite.org,"TUCOWS, INC.",ns2.digitalocean.com. | ns3.digitalocean.com. | ns1.digitalocean.com.,Digital Ocean,10 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC+kJsxfDJb94xC9fiMuH03OvLwkyk2mwC2UpwmB3MhHsyex0bFZ+fv3YvDG95CTmQyZN7/NZ7D0HsFRkG297ABgxIOPNfsP7knpbvF49K+dXU2dip+j2lb8aU9t8Sr2WJ0DsOEOJFDbDC2zNXIwVZmFZXba1ZVuRMq7bzx376rNwIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
6,mylesbraithwaite.net,"TUCOWS, INC.",ns2.digitalocean.com. | ns1.digitalocean.com. | ns3.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,0 5 5222 chimp.mylesbraithwaite.net. | 0 5 5269 chimp.mylesbraithwaite.net. | 0 5 5222 chimp.mylesbraithwaite.net.,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC48qNLkq3FBMegISZ7Nr0HkvUApiqvMXXei55ldl+APJg1LGlvrR4+9jKNn+B5no6/OKHOqGTiMn3A6mKx3hdkyXQpjEYhLJvAn9jokbn8wnkllv5zc1MkpZ+UtIHIzsj0+r8BkDUMK/m7R6+HPwfoegC3vpl5SaWYC2eaGxNCTQIDAQAB""","""v=DMARC1; p=none""","""v=spf1 a:chimp.mylesbraithwaite.net mx ip4:138.197.132.157 ip6:2604:a880:cad:d0::135c:f001 -all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
7,mylesbraithwaite.com,"TUCOWS, INC.",ns3.digitalocean.com. | ns2.digitalocean.com. | ns1.digitalocean.com.,Digital Ocean,10 aspmx4.googlemail.com. | 10 aspmx5.googlemail.com. | 10 aspmx3.googlemail.com. | 5 alt1.aspmx.l.google.com. | 10 aspmx2.googlemail.com. | 1 aspmx.l.google.com. | 5 alt2.aspmx.l.google.com.,,,,"""v=spf1 include:_spf.google.com ~all""",,
8,peanutbutterniceguy.com,"TUCOWS, INC.",ns2.digitalocean.com. | ns3.digitalocean.com. | ns1.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDqQ+BX59/aXw+FjDh0gf+8gvqTK0jGEUXq0PhEBNOpnhJGYhDV971+HYzueI88qL6WhMiZCkuZth+gm7nOE/jfY3rIWW/+1tEkFtMdQXdO3aPdpnF6eHXmj39/n6u9oglJZmQW+Zwv5YrM3WITBE+T7YZJz2OW5PEaJMZTm1JvYwIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
9,whatdayoftheweek.com,"TUCOWS, INC.",ns.phx2.nearlyfreespeech.net. | ns.phx1.nearlyfreespeech.net.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC84eByPDOP3EHucCEmPaclXLVWaZW0kDsgAmBKpkDZN8slm2MMTdBhAdmr94jtGNmNgm6N/uqdN6oCGmkK5EwxEBZYAXmuxJLCn4iXRL7Y8Th8q18xxtu5Jwxwo8uUzm6l94ghMb3+9pvnYuJs7YkCupubqXuTM6HTemkcziqPiQIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",autoconfig.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
10,monkeyinyoursoul.com,"TUCOWS, INC.",ns1.digitalocean.com. | ns2.digitalocean.com. | ns3.digitalocean.com.,Digital Ocean,1 aspmx.l.google.com. | 5 alt2.aspmx.l.google.com. | 10 aspmx4.googlemail.com. | 10 aspmx5.googlemail.com. | 10 aspmx3.googlemail.com. | 5 alt1.aspmx.l.google.com. | 10 aspmx2.googlemail.com.,,,,"""v=spf1 include:_spf.google.com ~all""",,
11,cleverlittledevil.com,"TUCOWS, INC.",ns3.digitalocean.com. | ns1.digitalocean.com. | ns2.digitalocean.com.,Digital Ocean,10 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDBL9+rbjk5pIkzfazO6yJK0YLljHTo1oZ0NDnJ69gZ7kVZ6Mh/OcWB8SSuuCTdyHx9CVfljUWDOZJdavr+hgXe/s6nTDOtqKVFTY68xCfB9eaKL7FT6r+iQMdC3eyn3y/KJgX5VHoj5QYKxWhfNPLXTV0N89IjBpXD558bKBGgZQIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
12,ilovemyles.com,"TUCOWS, INC.",ns1.digitalocean.com. | ns2.digitalocean.com. | ns3.digitalocean.com.,Digital Ocean,10 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDftj37bM01R16wglG2z1l3b0mqLyjGE7HcjvYUpQxQz9c+z8I4qKWTdwZjeRR9Tp4wADkU0Mmw0ZjakjaYRBuv0jOL5ntCJnk27fYbRIKP1z5XHuP9vcCN0MGKet07oFaeDYbSBxQHgdc7FLe9I0n6DQ24iDBQCy4EbWoCZ4ORZwIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
13,miys.net,"TUCOWS, INC.",ns1.digitalocean.com. | ns2.digitalocean.com. | ns3.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC0+Ut7QaFUaCzRCgK3Y+B4o7ZAaN6NhMVdYothqkRtK8z3r+wQNiDqOVgFchzRd6Itn07ljXC1eQ6Gl9o8yEPq9396Jqzut5iDmaEz6H0rL4XpgIA140JUTO0t8FGrbtke6IVUlb/HUeXi8valRtpokbcv3D3JVEmzkIORzQM3zQIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
14,ihatemyles.com,"TUCOWS, INC.",ns2.digitalocean.com. | ns3.digitalocean.com. | ns1.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC23aR+ZfmBk2pIPf+pynRlGT+FUEu2VHXsQSlEDuMrj/I411oYmSCUFj+N3W0uKP9m+HejlR7LOJxAlNAOb+Q38rjeYmWzq6UlQ4cqLmw/mtPzzcfqSASFOX6a41fWY7Fpa1V/d2zgnDhd64n1aMI1aJYVZX+OaB2PRf9gor3m/QIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
15,braithwaite.io,,dns1.p07.nsone.net. | dns4.p07.nsone.net. | dns2.p07.nsone.net. | dns3.p07.nsone.net.,Digital Ocean,10 chimp.mylesbraithwaite.net.,,"""\""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC6jMFoiWyFh9xduvlF7yWMQVCxkwLdpR9KdrQbDsdOZ4vzmAd3EBnnhq9DyxqdxOz+hV/X0R+M2Ik9TMGPY4SB/LjMsx7yyMC1QhMUWE1JEj6Zu2L48A28r7FloE+D5X3c59hdEIUWzvI1nw9S30ZpocpNW7J6EYFZnx3bVT8FxwIDAQAB\""""","""\""V=DMARC1; p=none\""""",,,
16,myles.photo,"TUCOWS, INC.",ns2.digitalocean.com. | ns1.digitalocean.com. | ns3.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC9396K5SiFmUYIL073ySwypO9pfOatCFyrKwYQoMX/ym9tMuMyRTbRFgc3ZdagYT00EXENDvOKKhAxly9uMl1RsIB5k0LSdsP6FX/qma5zp5we3e0LeKf5nK5vrJ5p73b9E+g6n+e308gdpqgNHto4V3L0e+KtcWwB7FZQViL7MwIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
17,myles.life,,ns1.digitalocean.com. | ns2.digitalocean.com. | ns3.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; h=sha256; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDW3a6w7vT5SOcssut/CI+0feFo9sq3wYXMsa3v91qgVK4s+GJkGuneT2KYNxtKK2Jf05/A/AkhqHJi/6Reip1pg45C1Ns94sGmujVFx5VMWNekOnWtE7Tw+A7N89KOA3OpkwQh1FuNcV0H7BiG4xYcBJydigO9e5EIiBzB4NEgsQIDAQAB""","""v=DMARC1; p=none""","""v=spf1 a mx ip4:138.197.132.157 -all""",chimp.mylesbraithwaite.net.,
18,myles.city,,ns2.digitalocean.com. | ns1.digitalocean.com. | ns3.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC2x6J7En0xuiMq7oyL8OioXwRQrRnSos1ZxnViGtVKvgAx/tyi9dPvq1LHANtdRVmUhWdE6N8N6pzREJtbsw/f3VhuA5hs0Lv74n7o5I10u4p/hbRqzCNuE2TUvMNkrttzknNpWmfBsxYxobYGBgJeaoXcHfA4fQyInu4VRDvcDQIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
19,myles.red,Tucows Domains Inc.,ns2.digitalocean.com. | ns1.digitalocean.com. | ns3.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC39Y2/PlP1KK7yl8Q/+qdEX5q2kJxP0NZrN8KBLlaSRC7Bd5WQ66Yj20kn1wRuJkMO6yVGiPNp69iQgV2ZlGZNABD/PGQI/r2cuERjl5agYNqU5OJCtYUuqeU7oSt1WhCqqFhX8+XhxqU2SIF2SjKnrEtAXyTJPaJaRo6HlUQaHQIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
20,myles.coffee,"TUCOWS, INC.",ns3.digitalocean.com. | ns1.digitalocean.com. | ns2.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC8IAqzrtDqAlB1Dx2VfMEUPFPtMqkEo8FZ/CDK1ve4X6X7VTOCOWkpAk0hXutBoN6vr7F5rdpB9v2h/X7YjRgjjK/medplJfyN3yvnyv2rrW1rGyBOGbKyCDqhHSlbRiybXlaikQaTlWUhe1kD1U7gZ9eJcm5XyrldoycxfM21lwIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
21,youaretheworst.today,"TUCOWS, INC.",ns2.digitalocean.com. | ns1.digitalocean.com. | ns3.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCykytkdGDEjxtKA3/8mG7mCgIEGIv6CzAlmFr9aSEQzJoWD2yNzeOTGLiT9yvKmjNFtRn7TvDq5GgfBGP9Yom5rVHFLaVGhN25UQ33FTqXWIW8EcX56os47Ir8QJUsBK30c0PhjLQ/ZmX76zP1RkQvDoELppyhWKwclKye/uYPjQIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
22,edmonddantes.xyz,"TUCOWS, INC.",ns1.hover.com. | ns2.hover.com.,Digital Ocean,10 mx.hover.com.cust.hostedemail.com.,,,,,,
23,homebrewhosting.club,"TUCOWS, INC.",ns2.digitalocean.com. | ns1.digitalocean.com. | ns3.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; h=sha256; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDUUDgZwq+K2Qxrnek8e1Py/YbuwsyCsWJGVGh3i+kf5fUN5M3CgTQJwMi87ujaKioccWQgned28Z4hfDzKIeJp1bf2Er+n4a5GAu4mRxzSSVjR8bfqljh2JqIE6ifVMwL/rseI28EAEg0YwCQomQF1NSq+CovBH1JmlA+7ROIr0wIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
24,kinroyal.com,"TUCOWS, INC.",ns3.digitalocean.com. | ns2.digitalocean.com. | ns1.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC5duQVg7n0r7NIdDL7YNpe2iZqV03034r6s8C/WyWSxu2ezpQAdU21MHo5M19HjU/L1kwPd0G1ggsUkVpHd4T9xbV6SuElPEwHt1Byw3qU6MoK3bed3QCqISTysO4VDd7jTSwr+Ch7tG8lY/A8RyXJxXiyukuEfTWHUQsi6eNZ4wIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
25,passthewinefuckthegovernmentiloveyou.com,"TUCOWS, INC.",ns2.digitalocean.com. | ns3.digitalocean.com. | ns1.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDz6M8kSCV41DTFX9X17TMKuU+ZXpcrcwPNec11/aLd6eyw1Qsa8sb6XUQQW4r7B8XMzPjg5dF5UfkpYSTnK64Y+VBvkuYyvDsS44SXsI710w7K/LtkL5n3UVTs9BB5EJzeOAu3ZP85qvHOeTrTYa+iZXDmsKqDiZwyBfOAlVBmhQIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
26,rottenbananas.ca,,ns3.digitalocean.com. | ns2.digitalocean.com. | ns1.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDdSYu69IJV3v25NoYA9h8C1DHCUYJnHqavjkyEnxZJrgwS5qpRrvxEUfETTxqBRWyj3YGP+pTF2a3a8HRiS345VOoayIbDkxDrlWry6loANcYP8pICJe7TC+bM3WBqzQVK2+SOaERVlah3Ypl6JxXGDN3p/Hashv/UVp0tuyz76QIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
27,fancyasfuck.ca,,ns2.digitalocean.com. | ns1.digitalocean.com. | ns3.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,0 5 5222 chimp.mylesbraithwaite.net.fancyasfuck.ca. | 0 5 5222 chimp.mylesbraithwaite.net.fancyasfuck.ca.,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDg/8xGlLAuz02L3ENkeLKHJllpjghO6oicG6S32jGjoYpK/x3PAOYBFgmmZCv7c5BDv2GbYn/ce7KGWl0WJIjn6IP9K92izTyH1MgSjayHOJWyp39Nnd4ZCQeNe6YjQ9d+Y4wBV7t6bGP0DG6Py3aqX7Y5NtjNtxG/RonzakCZ+QIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
28,impersonatefunctioninghuman.com,"TUCOWS, INC.",ns3.digitalocean.com. | ns2.digitalocean.com. | ns1.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDjrkKtZRmloPVq1HzeqXwaPyEv2s0+wMJwh2wRuU4AhXUYX6IjhgKQREL2ThMQbhc6zeqDydWuRPqgs4WEJStdZYWU+iuMWmBipv8bt2KCB5eXsg4JrJf5XNxDLci4oAg9uFRtLYU5i/QeM2oB9kiKL59jME05+Dh4LwDsuO/ugQIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
29,myl.be,,ns1.digitalocean.com. | ns2.digitalocean.com. | ns3.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC9PKlGZfCH/5odEHaM0cJtssfPH9WmFQO96nnfbxJkJCPPO9uLFLZ5rdVEX/VuCJJoaABDt2SNhRz7hmBlOnCTdKYbPF32ozfSjvV3WuwugaCb+ZZOIYN6UDeWpMR1bfRrcEdftEPmXIJnp4SmLJfps0nKPQXmTOzkLRmZJ5qHDwIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
30,myles.tk,,ns4.linode.com. | ns1.linode.com. | ns5.linode.com. | ns2.linode.com. | ns3.linode.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCjQcyw95JIKYIcJYmVTovRb8BHYK9fIaaAic9hdXdWL8HSDNQbYpEn2xZRhPJp9CxDHtCPR1gzYyFvLBouLloVbA5XVER+wh6/S0igtkvp48SvohCRbU0s1josByia/44/pNT+poGdXQ4LgRqVh7swTNJoeSWBzfLJlaHEbbEeywIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
31,braithwaite.tk,,ns1.digitalocean.com. | ns3.digitalocean.com. | ns2.digitalocean.com.,Digital Ocean,1 chimp.mylesbraithwaite.net.,,"""v=DKIM1; k=rsa; s=email; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDqlEnc7LCUnC4h6o1jxS4+MjhWePT1HOpaw7D8lJGb/WxmH9oJGy05JEMp5so5TjUVM+EK8aEpAObgMlTDyBduK2DWLOUivC7cs2fJxJ0ktCKQTSYzUgRR2EtvNDaDqgfvx4TlixFUWRJBUgi8TrPgoqkNI/Sv2gW5DqtbUofZBQIDAQAB""","""v=DMARC1; p=none""","""v=spf1 include:mylesbraithwaite.net ~all""",chimp.mylesbraithwaite.net.,chimp.mylesbraithwaite.net.
32,myles.braithwaite.ca,,ns3.linode.com. | ns1.linode.com. | ns4.linode.com. | ns2.linode.com. | ns5.linode.com.,Digital Ocean,10 ASPMX.L.GOOGLE.COM. | 20 ALT1.ASPMX.L.GOOGLE.COM. | 30 ASPMX3.GOOGLEMAIL.COM. | 20 ALT2.ASPMX.L.GOOGLE.COM. | 30 ASPMX4.GOOGLEMAIL.COM. | 30 ASPMX2.GOOGLEMAIL.COM. | 30 ASPMX5.GOOGLEMAIL.COM.,,,,,,
